hero_skill_id,name,damage,target_position,target_number,stat_debuff_type,stat_debuff_chance,stat_debuff_duration,stat_debuff_amount,effect_type,effect_chance,effect_duration,bonus_damage,stat_1,bonus_1,stat_2,bonus_2,stat_3,bonus_3,reflect_chance,reflect_damage,stat_debuff_calculation_type,effect_amount,heal_percent,heal_target_position,heal_target_number,heal_mark_type,heal_mark_bonus_percent,effect_1_type,effect_1_duration,damage_bonus_percent,immune_effect_type,counter_attack_chance,counter_attack_damage,damage_share_percent,bond_duration,hp_limit,trigger_limit,trigger_chance,effect_target_position,effect_target_number,heal_duration,damage_percent,bond_damage_percent,bond_cc_chance,effect_affect_to_stat,effect_stat_calculation_type,hp_lower,damage_target_position,damage_target_number,stat_buff_type,stat_buff_amount,power_gain_value,calculation_type_1,effect_trigger_class,number_bouncing,damage_bouncing,heal_chance,heal_amount_by_damage,calculation_type_2,stat_buff_chance,stat_buff_duration,health_trigger,multi_damage_chance,multi_damage_value,extra_turn_chance,damage_of_extra_turn,extra_turn_limit,effect_drowning_chance,effect_drowning_duration,faction_buff,stat_per_faction_buff_type,stat_per_faction_buff_amount,power_stat,drowning_mark_can_be_dispelled,heal_amount,bonus_basic_attack,stat_buff_target_position,stat_buff_target_number,enemy_class,block_chance,block_amount,buff_stat_front_line,buff_amount_front_line,buff_stat_back_line,buff_amount_back_line,bonus_class_hero,bonus_damage_with_class,stat_buff_calculation_type,dot_type,dot_chance,dot_duration,dot_amount,effect_debuff_type,effect_debuff_amount,effect_1_amount,effect_percent,time_reborn,round_reborn,effect_1_chance,power_buff_chance,power_buff_amount,power_buff_target_number,power_buff_target_position,effect_1_target_position,effect_1_target_number,steal_stat_type,steal_stat_amount,calculation_type,stat_1_buff_type,stat_1_buff_amount,stat_2_buff_type,stat_2_buff_amount,calculation_type_3,bonus_dot_amount,splash_damage,splash_vertical_range,effect_dot_type,multi_bonus_damage_per_effect,effect_check_type,power_receive_amount,effect_dot_amount,effect_stat_debuff_type,effect_stat_debuff_amount,number_round_to_buff,resistance_dot_damage,buff_stat,buff_amount,buff_duration,basic_attack_target_position,basic_attack_target_number,heal_amount_per_round,heal_amount_increase_per_round,stat_buff_value_max,damage_attack,health_trigger_buff_1,stat_1_buff_type_1,stat_1_buff_amount_1,stat_2_buff_type_1,stat_2_buff_amount_1,health_trigger_buff_2,stat_1_buff_type_2,stat_1_buff_amount_2,stat_2_buff_type_2,stat_2_buff_amount_2,effect_dot_chance,effect_dot_duration,hp_trigger_limit,bonus_attack,debuff_duration,max_hp_to_kill,power_gain_when_kill,stat_type,stat_bonus_amount,stat_bonus_limit,hp_be_attacked,hp_heal,heal_resistance_chance,heal_resistance_duration,revive_chance,stat_percent,stat_debuff_percent,venom_stack_damage,venom_stack_duration,number_stack,damage_per_stack_when_dead,enemy_hp_limit,skill_damage_bonus,hp_percent_lost_per_bonus,hp_limit_to_kill,passive_chance,revive_hp_percent,stat_per_faction_buff_type_1,stat_per_faction_buff_amount_1,stat_per_faction_buff_type_2,stat_per_faction_buff_amount_2,cc_chance,cc_type,cc_duration,add_power_chance,add_power_amount,basic_attack_damage_multiplier,block_rate,hp_heal_percent,number_bonus_attack,bonus_attack_damage_multiplier,effect_trigger_bonus,damage_bonus_amount,blood_mark_chance,blood_mark_duration,counter_attack_effect,heal_trigger,stat_amount,stat_debuff_calculation,enemy_target_position,enemy_target_number,stat_buff_type_1,stat_buff_amount_1,stat_buff_type_2,stat_buff_amount_2,effect_dryad_duration,effect_dryad_amount,health_trigger_1,trigger_1_stat_1_buff_type,trigger_1_stat_1_buff_amount,trigger_1_stat_2_buff_type,trigger_1_stat_2_buff_amount,health_trigger_2,trigger_2_stat_1_buff_type,trigger_2_stat_1_buff_amount,trigger_2_stat_2_buff_type,trigger_2_stat_2_buff_amount,power_gain_per_basic_attack,stat_amount_per_use_skill,block_limit,ally_target_position,ally_target_number,effect_bonus_percent,stack_limit,buff_target_position,buff_target_number,buff_bonus,buff_power,stat_calculation_type,silence_chance,silence_duration,resistance_effect_rate_1,resistance_effect_type_1,resistance_effect_rate_2,resistance_effect_type_2,number_round_can_not_be_targeted,damage_multiplier_1,damage_multiplier_2,damage_multiplier_3,bonus_damage_when_crit,bonus_damage_with_effect,front_stat,front_stat_amount,back_stat_1,back_stat_amount_1,back_stat_2,back_stat_amount_2,back_stat_3,back_stat_amount_3,cc_trigger_class,cc_trigger_chance,cc_trigger_type,cc_trigger_duration,target_hp_percent,stat_2_calculation_type,effect_chance_normal,effect_chance_special,affected_hero_class,buff_type,hp_percent_to_heal,damage_percent_to_heal,max_hp_percent_to_heal,stat_debuff_type_1,stat_debuff_amount_1,stat_debuff_type_2,stat_debuff_amount_2,duration,stat_to_steal,stat_steal_amount,stat_convert,round_step,number_take_damage_required,steal_buff_target_position,steal_buff_target_number,steal_chance,steal_stat_type_1,steal_stat_amount_1,steal_stat_type_2,steal_stat_amount_2,steal_duration,bonus_damage_faction_type,bonus_damage_faction_value,stat_per_light_buff_type,stat_per_light_buff_amount,stat_per_dark_buff_type,stat_per_dark_buff_amount,damage_min,damage_max,target_number_min,target_number_max,silence_chance_debuff_mage,effect_type_debuff_warrior,effect_chance_debuff_warrior,number_buff,health_bonus_trigger,max_stack,hero_class_type,heal_percent_of_damage,effect_faction,power_gain_start_battle,bonus_attack_chance,affected_faction,extra_turn_chance_per_crit,damage_per_extra_turn,first_chance,first_multi_damage,second_chance,second_multi_damage,percent_trigger,stat_buff_1_type,stat_buff_1_amount,stat_buff_2_type,stat_buff_2_amount,stat_buff_3_type,stat_buff_3_amount,reduce_damage_dark_mark,hp_trigger_crit_rate,stat_debuff_max,bonus_basic_attack_chance_1,bonus_basic_attack_number_1,bonus_basic_attack_chance_2,bonus_basic_attack_number_2,bonus_basic_attack_chance_3,bonus_basic_attack_number_3,bonus_basic_attack_chance_4,bonus_basic_attack_number_4,stat_debuff_calculation_type_2,stat_debuff_type_3,stat_debuff_amount_3,stat_3_buff_type,stat_3_buff_amount,heal_percent_with_damage,mark_duration,damage_receive_debuff_amount,damage_receive_debuff_duration,damage_multiplier,debuff_chance,effect_trigger,silent_chance,silent_duration,heal_bonus,poison_damage_reduction
10003_3,Sharpwater_Passive2,,10,2,,,,,,0.35,,,,,,,,,,,,0.5,,,,102,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003_4,Sharpwater_Passive3,,,,,,,,,,,,3,0.15,2,0.1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004_1,Pasthera_Active,1.12,10,5,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004_2,Pasthera_Passive1,,,,,,,,,,,,30,0.15,10,0.05,31,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004_3,Pasthera_Passive2,,,,,,,,2,0.3,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004_4,Pasthera_Passive3,,,,,,,,,,,,41,0.2,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005_1,Mist_Active,2.3,31,1,20,0.9,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005_2,Mist_Passive2,,,,,,,,,,,,1,0.2,10,0.05,21,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005_3,Mist_Passive2,,10,2,4,1,2,20,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005_4,Mist_Passive3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10006_1,Aqualord_Active,1.36,10,5,4,1,3,20,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
